Time_UTC_Start,open,high,low,close,volume,quote_asset_volume,number_of_trades,base_asset_volume,quote_asset_volume,label
2018-07-22 15:00:00,7500.0,7505.0,7493.12,7504.98,16.111358,120884.21287014,149.0,13.515869,101412.16706607,1.0
2018-07-22 16:00:00,7527.99,7530.55,7524.04,7530.55,17.192868,129436.21531436,130.0,12.852965,96767.89756923,1.0
2018-07-22 17:00:00,7510.63,7525.0,7510.62,7512.24,31.423712,236253.92499333,275.0,14.37527,108086.23152551,1.0
2018-07-22 18:00:00,7505.7,7509.0,7502.02,7505.71,19.93437,149602.88238464,86.0,14.86305,111544.73368314,1.0
2018-07-22 19:00:00,7520.01,7524.86,7519.99,7524.83,14.127231,106264.53419041,92.0,10.495101,78944.26079012,1.0
2018-07-22 20:00:00,7528.04,7528.05,7525.02,7526.16,2.678962,20165.34411122,54.0,2.018085,15191.30418619,0.0
2018-07-22 21:00:00,7539.11,7544.13,7535.1,7544.13,17.864199,134722.72369619,97.0,14.079334,106183.9862425,1.0
2018-07-22 22:00:00,7371.01,7373.85,7341.01,7351.0,83.767879,616008.9637035,595.0,25.959346,190938.42040661,0.0
2018-07-22 23:00:00,7409.52,7409.52,7401.0,7401.0,14.153813,104802.24107138,124.0,8.05952,59679.38488086,0.0
2018-07-23 00:00:00,7394.78,7394.79,7390.0,7394.77,24.218623,179029.19396127,213.0,10.495967,77593.72102972,0.0
2018-07-23 01:00:00,7469.77,7470.14,7461.56,7464.36,13.027641,97249.68302229,94.0,4.301251,32117.61946875,0.0
2018-07-23 02:00:00,7514.06,7541.01,7513.11,7533.13,66.69607,501751.94126907,465.0,47.448914,357013.63811515,1.0
2018-07-23 03:00:00,7631.79,7649.0,7631.79,7643.6,46.663438,356717.65188071,203.0,32.588835,249196.82279005,1.0
2018-07-23 04:00:00,7623.0,7628.37,7623.0,7627.04,4.902829,37392.22446169,56.0,2.759628,21048.70833258,1.0
2018-07-23 05:00:00,7673.79,7674.77,7669.56,7672.94,7.241196,55555.8476041,94.0,1.966883,15089.91090099,0.0
2018-07-23 06:00:00,7651.83,7657.5,7651.83,7657.08,6.705304,51334.75402736,73.0,3.767107,28845.00141164,1.0
2018-07-23 07:00:00,7690.0,7696.45,7690.0,7691.22,5.905348,45431.38365138,64.0,2.67607,20591.73438159,1.0
2018-07-23 08:00:00,7758.95,7763.87,7757.0,7763.87,27.900383,216501.31796261,185.0,18.174668,141031.74384898,1.0
2018-07-23 09:00:00,7721.63,7724.15,7706.5,7709.3,45.615623,351893.32059956,270.0,18.575566,143277.51746437,0.0
2018-07-23 10:00:00,7719.09,7721.47,7717.0,7720.66,70.671043,545583.8046376,157.0,50.850215,392580.38381406,1.0
2018-07-23 11:00:00,7692.51,7706.0,7692.11,7705.71,59.283866,456257.16065545,202.0,41.529361,319624.27800899,1.0
2018-07-23 12:00:00,7695.0,7700.0,7692.42,7695.0,19.714595,151727.03108027,157.0,13.370006,102909.10586168,0.0
2018-07-23 13:00:00,7708.0,7714.0,7708.0,7712.63,56.574078,436270.72890355,157.0,49.049397,378251.34059179,1.0
2018-07-23 14:00:00,7719.16,7725.69,7719.16,7724.99,9.282616,71690.07129984,103.0,6.409741,49509.21937255,1.0
2018-07-23 15:00:00,7700.97,7700.98,7697.77,7700.0,29.699795,228677.351127,108.0,11.17015,86010.20256726,0.0
2018-07-23 16:00:00,7731.5,7733.78,7726.81,7733.53,15.887243,122837.955572,150.0,8.962883,69305.9798066,1.0
2018-07-23 17:00:00,7741.76,7741.76,7732.77,7740.16,79.960484,618561.44400484,318.0,49.459675,382606.09545723,0.0
2018-07-23 18:00:00,7734.91,7734.91,7731.9,7734.8,4.643642,35912.65978149,107.0,3.119175,24125.13108613,0.0
2018-07-23 19:00:00,7742.73,7754.7,7735.92,7749.99,44.464236,344478.84979712,276.0,23.174645,179586.12547839,1.0
2018-07-23 20:00:00,7757.0,7765.31,7755.01,7762.33,9.736889,75563.645917,85.0,5.32995,41372.74372896,1.0
2018-07-23 21:00:00,7708.52,7708.98,7703.0,7706.08,17.524917,135045.44501222,196.0,8.187216,63092.40433325,0.0
2018-07-23 22:00:00,7762.03,7767.33,7762.0,7767.33,17.857887,138632.76092214,140.0,6.984429,54231.88851122,1.0
2018-07-23 23:00:00,7728.05,7730.0,7715.0,7715.0,59.707447,461136.98389405,263.0,14.662309,113240.83186074,0.0
2018-07-24 00:00:00,7721.65,7729.0,7718.89,7727.54,15.980099,123437.90689438,88.0,7.843825,60606.5194616,1.0
2018-07-24 01:00:00,7724.98,7725.0,7721.0,7725.0,27.451941,212046.31656457,134.0,20.250932,156428.78072765,1.0
2018-07-24 02:00:00,7749.75,7750.97,7747.41,7748.65,17.584941,136258.20825437,198.0,10.355397,80244.48736399,0.0
2018-07-24 03:00:00,7740.31,7740.99,7737.31,7740.97,5.863472,45386.49792699,75.0,5.107715,39538.20810971,1.0
2018-07-24 04:00:00,7771.18,7782.41,7770.54,7778.0,25.428217,197759.52467851,280.0,13.92376,108298.69952365,1.0
2018-07-24 05:00:00,7865.34,7877.15,7865.0,7874.01,32.394368,254926.40698369,207.0,17.920523,141005.77113762,1.0
2018-07-24 06:00:00,7982.76,7990.2,7966.39,7972.22,75.832734,605211.84433284,467.0,33.710941,269128.02914979,0.0
2018-07-24 07:00:00,7988.98,7991.0,7987.24,7987.59,9.252051,73910.44947986,151.0,4.480766,35800.0467726,0.0
2018-07-24 08:00:00,8031.01,8041.0,8031.0,8040.06,26.741249,214918.68446851,279.0,21.897494,175997.09127459,1.0
2018-07-24 09:00:00,7991.55,7995.89,7991.52,7994.86,31.547768,252182.39007235,114.0,17.411796,139194.0882086,1.0
2018-07-24 10:00:00,8022.05,8032.85,8022.05,8032.85,11.358339,91175.69530033,136.0,7.730805,62059.65833673,1.0
2018-07-24 11:00:00,8140.18,8145.0,8135.0,8135.0,61.441457,500110.20128394,296.0,29.340389,238843.01440789,0.0
2018-07-24 12:00:00,8257.98,8266.61,8255.02,8263.01,36.02053,297631.69695766,317.0,16.279052,134510.63342736,1.0
2018-07-24 13:00:00,8218.71,8228.68,8216.45,8220.0,59.458543,488791.75011737,284.0,31.777879,261222.84283965,1.0
2018-07-24 14:00:00,8248.89,8249.89,8245.88,8246.66,34.271561,282629.81081968,173.0,15.581386,128511.91358741,0.0
2018-07-24 15:00:00,8167.98,8177.99,8167.18,8176.62,22.102634,180630.20037213,169.0,11.388481,93075.80669203,1.0
2018-07-24 16:00:00,8182.4,8185.0,8182.07,8184.99,19.271659,157719.93283395,143.0,9.264715,75824.13464021,1.0
2018-07-24 17:00:00,8186.98,8190.0,8183.3,8184.56,8.920808,73037.59263094,150.0,3.447118,28224.48146533,0.0
2018-07-24 18:00:00,8244.8,8245.0,8238.89,8240.22,11.643656,95973.43100655,124.0,3.671446,30263.60345091,0.0
2018-07-24 19:00:00,8258.34,8270.76,8253.96,8266.51,17.397485,143750.69278847,132.0,12.888519,106489.77642946,1.0
2018-07-24 20:00:00,8266.24,8267.98,8265.0,8266.15,20.780132,171774.59307049,145.0,10.638645,87945.20939923,0.0
